"filename", "language", "Python", "Markdown", "JavaScript", "pip requirements", "SCSS", "JSON", "CSS", "XML", "HTML", "JSON with Comments", "Ignore", "Properties", "comment", "blank", "total"
"c:\Ujango\frontend\.idea\frontend.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Ujango\frontend\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Ujango\frontend\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Ujango\frontend\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 6
"c:\Ujango\frontend\.idea\watcherTasks.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"c:\Ujango\frontend\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 4
"c:\Ujango\frontend\.prettierrc.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Ujango\frontend\README.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 75
"c:\Ujango\frontend\docs\Project structure.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Ujango\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 13, 0, 18
"c:\Ujango\frontend\package.json", "JSON", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 1, 63
"c:\Ujango\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 23, 2, 65
"c:\Ujango\frontend\src\App.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Ujango\frontend\src\App.scss", "SCSS", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 13, 32
"c:\Ujango\frontend\src\assets\Photos\index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
